0.0, 0.0, 0.0, 15:57:12:945
-52.65425, -1.6854663, -135.39719, 15:57:13:166
-52.36942, -1.6684581, -135.14746, 15:57:13:271
-53.019505, -1.029275, -135.9689, 15:57:13:323
-52.985058, -0.91192967, -136.09015, 15:57:13:402
-52.684998, -1.2771913, -135.69164, 15:57:13:446
-52.767704, -1.3078876, -135.96461, 15:57:13:500
-52.74884, -1.5751724, -135.6015, 15:57:13:554
-52.694107, -1.6271539, -135.38986, 15:57:13:603
-52.8404, -1.5461323, -135.72186, 15:57:13:646
-53.06306, -1.3395883, -136.41754, 15:57:13:692
-53.278847, -1.0457426, -136.80908, 15:57:13:736
-53.25839, -0.9755149, -136.81148, 15:57:13:781
-53.028236, -0.97883165, -137.0019, 15:57:13:831
-52.970047, -1.0572906, -137.08829, 15:57:13:893
-52.928326, -1.2417952, -136.66379, 15:57:14:031
-51.777004, -4.6996374, -131.97235, 15:57:14:086
-47.01957, -12.7665415, -121.19655, 15:57:14:137
-41.543716, -15.60797, -116.349945, 15:57:14:179
-36.822662, -14.975679, -116.171646, 15:57:14:224
-33.19407, -14.072669, -116.93534, 15:57:14:271
-29.58268, -13.897263, -117.36653, 15:57:14:312
-26.36052, -13.366536, -118.75415, 15:57:14:351
-23.283787, -11.794629, -121.51799, 15:57:14:391
-20.217772, -9.106178, -125.42999, 15:57:14:432
-17.588491, -5.453651, -130.24977, 15:57:14:471
-15.50617, -0.25160658, -137.11324, 15:57:14:514
-14.782734, 5.615221, -145.45975, 15:57:14:558
-15.453939, 12.036449, -155.46913, 15:57:14:598
-16.430613, 16.9994, -162.82231, 15:57:14:639
-18.108318, 22.967337, -170.88812, 15:57:14:679
-21.525352, 30.311104, 177.40984, 15:57:14:718
-25.588566, 34.060318, 172.80038, 15:57:14:759
-30.840792, 36.277817, 172.33647, 15:57:14:796
-36.973625, 40.92899, 169.94249, 15:57:14:836
-44.286697, 45.04819, 167.64626, 15:57:14:873
-49.391792, 47.968037, 165.92967, 15:57:14:912
-56.23888, 51.079807, 164.14874, 15:57:14:955
-64.499146, 46.945683, 169.6151, 15:57:14:996
-74.61705, 26.1343, -166.38916, 15:57:15:038
-77.94588, -0.5335323, -138.41408, 15:57:15:078
-76.06776, -23.058691, -114.159805, 15:57:15:118
-71.20611, -32.494656, -102.42708, 15:57:15:158
-64.58268, -35.08039, -97.4429, 15:57:15:201
-59.635868, -34.35282, -96.65916, 15:57:15:241
-56.722656, -35.196564, -96.32207, 15:57:15:282
-53.74267, -38.583458, -93.41291, 15:57:15:318
-50.159172, -40.35582, -91.53551, 15:57:15:358
-46.513046, -41.149597, -90.27218, 15:57:15:397
-44.860966, -40.67817, -90.93088, 15:57:15:438
-42.44891, -41.01018, -90.540276, 15:57:15:480
-40.801693, -41.31023, -90.42968, 15:57:15:523
-39.47474, -41.635395, -90.29484, 15:57:15:568
-36.77034, -41.47631, -91.89203, 15:57:15:619
-35.00608, -42.23848, -90.09018, 15:57:15:656
-33.4881, -43.75682, -88.56, 15:57:15:697
-31.982662, -45.503212, -86.810234, 15:57:15:741
-31.060822, -48.920017, -84.076996, 15:57:15:782
-30.29938, -53.100826, -81.08711, 15:57:15:825
